date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:50:53	48592/48592	---M-Z	200	added ('OK')	application/javascript	etag:W/%220%22	https://preview.colorlib.com/theme/aranoz/js/contact.js+jquery.ajaxchimp.min.js+jquery.form.js+jquery.validate.min.js+mail-script.js+custom.js.pagespeed.jc.HQtTSVnweH.js	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/js/contact.js+jquery.ajaxchimp.min.js+jquery.form.js+jquery.validate.min.js+mail-script.js+custom.js.pagespeed.jc.HQtTSVnweH.js	(from https://preview.colorlib.com/theme/aranoz/)
10:50:54	283/283	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Nov%202020%2005:20:53%20GMT	https://preview.colorlib.com/theme/aranoz/css/owl.video.play.png	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/css/owl.video.play.png	(from https://preview.colorlib.com/theme/aranoz/css/bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css.pagespeed.cc.RptZlr4aGY.css)
10:50:58	129916/129916	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221fb7c-58d0b06099040%22	https://preview.colorlib.com/theme/aranoz/webfonts/fa-brands-400.eot	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/webfonts/fa-brands-400.eot	(from https://preview.colorlib.com/theme/aranoz/css/bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css.pagespeed.cc.RptZlr4aGY.css)
10:50:58	129916/129916	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221fb7c-58d0b06099040%22	https://preview.colorlib.com/theme/aranoz/webfonts/fa-brands-400.eot?	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/webfonts/fa-brands-400d41d.eot	(from https://preview.colorlib.com/theme/aranoz/css/bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css.pagespeed.cc.RptZlr4aGY.css)
10:51:00	87688/87688	---M--	200	added ('OK')	font/woff	etag:%2215688-58d0b06375700%22	https://preview.colorlib.com/theme/aranoz/webfonts/fa-brands-400.woff	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/webfonts/fa-brands-400.woff	(from https://preview.colorlib.com/theme/aranoz/css/bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css.pagespeed.cc.RptZlr4aGY.css)
10:51:00	74768/74768	---M--	200	added ('OK')	font/woff2	etag:%2212410-58d0b06469940%22	https://preview.colorlib.com/theme/aranoz/webfonts/fa-brands-400.woff2	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/webfonts/fa-brands-400.woff2	(from https://preview.colorlib.com/theme/aranoz/css/bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css.pagespeed.cc.RptZlr4aGY.css)
10:51:04	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%228654-58d0b06469940%22	https://preview.colorlib.com/theme/aranoz/webfonts/fa-regular-400.eot	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/webfonts/fa-regular-400.eot	(from https://preview.colorlib.com/theme/aranoz/css/bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css.pagespeed.cc.RptZlr4aGY.css)
10:51:04	129612/129612	---M--	200	added ('OK')	font/ttf	etag:%221fa4c-58d0b062814c0%22	https://preview.colorlib.com/theme/aranoz/webfonts/fa-brands-400.ttf	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/webfonts/fa-brands-400.ttf	(from https://preview.colorlib.com/theme/aranoz/css/bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css.pagespeed.cc.RptZlr4aGY.css)
10:51:07	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%228654-58d0b06469940%22	https://preview.colorlib.com/theme/aranoz/webfonts/fa-regular-400.eot?	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/webfonts/fa-regular-400d41d.eot	(from https://preview.colorlib.com/theme/aranoz/css/bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css.pagespeed.cc.RptZlr4aGY.css)
10:51:07	13552/13552	---M--	200	added ('OK')	font/woff2	etag:%2234f0-58d0b06651dc0%22	https://preview.colorlib.com/theme/aranoz/webfonts/fa-regular-400.woff2	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/webfonts/fa-regular-400.woff2	(from https://preview.colorlib.com/theme/aranoz/css/bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css.pagespeed.cc.RptZlr4aGY.css)
10:51:09	16804/16804	---M--	200	added ('OK')	font/woff	etag:%2241a4-58d0b06651dc0%22	https://preview.colorlib.com/theme/aranoz/webfonts/fa-regular-400.woff	C:/Users/sriva/Desktop/zioltypay/ziolty/preview.colorlib.com/theme/aranoz/webfonts/fa-regular-400.woff	(from https://preview.colorlib.com/theme/aranoz/css/bootstrap.min.css+animate.css+owl.carousel.min.css+all.css+flaticon.css+themify-icons.css+magnific-popup.css+slick.css.pagespeed.cc.RptZlr4aGY.css)
